Date,PGE,SCE,SDGE,VEA,HE,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30
2025-03-04,10645.66246125,11390.985593333333,2370.9025635,71.51249088708333,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10681.0797575,11447.461756666666,2391.150869,72.57365159916667,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10716.497053750001,11503.937919999998,2411.3991745000003,73.63481231124999,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10751.914350000001,11560.414083333333,2431.64748,74.69597302333332,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10787.33164625,11616.890246666666,2451.8957855,75.75713373541666,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10822.7489425,11673.366409999999,2472.144091,76.8182944475,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10858.16623875,11729.842573333333,2492.3923965000004,77.87945515958333,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10893.583535,11786.318736666666,2512.640702,78.94061587166667,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10929.00083125,11842.794899999999,2532.8890075,80.00177658375,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10964.418127500001,11899.271063333334,2553.137313,81.06293729583332,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-04,10999.83542375,11955.747226666666,2573.3856185000004,82.12409800791666,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,11035.25272,12012.22339,2593.633924,83.18525872,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,11017.717693333334,12067.329554999998,2582.7660896250004,85.20462092749999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,11000.182666666668,12122.43572,2571.89825525,87.223983135,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10982.647640000001,12177.541884999999,2561.0304208750003,89.24334534249999,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10965.112613333335,12232.64805,2550.1625865,91.26270754999999,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10947.577586666666,12287.754214999999,2539.2947521250003,93.2820697575,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10930.04256,12342.86038,2528.42691775,95.30143196499999,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10912.507533333333,12397.966545,2517.5590833750002,97.3207941725,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10894.972506666667,12453.07271,2506.691249,99.34015638,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10877.43748,12508.178875,2495.823414625,101.35951858749999,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10859.902453333334,12563.28504,2484.95558025,103.378880795,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10842.367426666668,12618.391205,2474.087745875,105.3982430025,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,10824.8324,12673.497370000001,2463.2199115000003,107.41760521,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
