year_month,Estimated_Hourly_Cost_USD,CAISO Total,Monthly_Price_Cents_per_kWh,hour,dayofweek,month,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30,PGE,SCE,SDGE,VEA,HE_num,PGE_loadlag,SCE_loadlag,SDGE_loadlag,VEA_loadlag,daily_mean_load_lag_1_loadlag,daily_std_load_lag_1_loadlag,daily_mean_load_lag_7_loadlag,daily_std_load_lag_7_loadlag,daily_mean_load_lag_15_loadlag,daily_std_load_lag_15_loadlag,daily_mean_load_lag_30_loadlag,daily_std_load_lag_30_loadlag,HE_num_loadlag,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind,Battery storage,Geothermal,Pumped storage,Solar with integrated battery storage,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,cloudcover_mean,et0_fao_evapotranspiration,pressure_msl_mean,weathercode,cdd,hdd,year_month_start
2021-01,0.0,0.0,21.45,3.4919354838709675,3.193548387096774,1.0,22658.03830125,2004.727383305394,22675.318314037435,2067.4329240580214,22892.78052741987,2138.0323111048983,23566.55940567937,2380.831107133847,77734.73489776967,6877.777749848146,974601.7964691943,100083.33392168899,2222097.2764964374,221852.4653286483,4594731.783422742,464796.27893359365,9673.70195653965,9585.831352093073,1916.4813255370743,74.15403900440967,4.915098566308244,,,,,,,,,,,,,,,,,,,,,,,,,,1.3332661338709675,6.577419354838709,-3.364516129032258,-2.8751109412903224,2.425097462419355,-7.737703573548386,-5.432594084193548,64.88693683870967,83.19694329032258,44.710009451612905,0.34516129032258064,0.34516129032258064,0.0,16.905745983870965,30.309676870967742,10.241612903225807,10.241612903225807,42.48521518283871,1.382777713548387,1026.5591441935485,0.0,16.666733870967743,2021-01-01
2021-02,0.0,0.0,22.5,5.8497023809523805,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9816.12763640873,9356.892571924604,1793.0964558531746,69.44634920634921,7.297867063492063,,,,,,,,,,,,,,,,,,,,,,,,,,7.318824403571428,12.385714285714286,2.7178571428571425,3.4907482543928574,8.543777718928572,-1.4467534885714286,1.326488009642857,68.20802660714286,87.81720575,47.35683564285714,1.3535714107142858,1.3535714107142858,0.0,20.187756625,36.102856499999994,12.223928571428571,12.223928571428571,48.53422641071428,2.0823759285714285,1022.5258960714285,0.0,10.681175675,2021-02-01
2021-03,0.0,0.0,22.040000000000003,6.341397849462366,2.806451612903226,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10044.699507168458,10033.965896057349,1870.2443189964158,61.17219758064516,7.822804659498209,,,,,,,,,,,,,,,,,,,,,,,,,,10.338709851612904,14.641935483870967,6.508064516129032,7.389239221935484,11.747366151612903,3.0926220053548388,4.348790258387097,68.73351448387096,86.29707125806452,48.144415483870965,1.1774193064516127,1.1774193064516127,0.0,18.386586796774193,33.36387054838709,14.364193548387098,14.364193548387098,62.15322525806452,2.560313861290323,1020.4578125806452,0.0,7.661290097741935,2021-03-01
2021-04,0.0,0.0,23.37,4.726388888888889,3.033333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9830.307658564816,9558.521782407408,1771.715127314815,42.758322916666664,6.152083333333334,,,,,,,,,,,,,,,,,,,,,,,,,,14.427361266666667,18.591666666666665,10.616666666666667,12.497874366666668,16.851789266666668,8.357230953333334,8.335972187666666,69.73366663333333,89.26345353333333,50.47959653333333,1.919999985,1.919999985,0.0,19.190383266666668,35.51999886666667,14.534666666666665,14.534666666666665,66.41666656666666,2.8748743446666665,1018.0436216666666,0.0,3.5726388952333332,2021-04-01
2021-05,0.0,0.0,22.74,4.423387096774194,3.064516129032258,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10428.91791218638,9670.34755376344,1771.0532885304658,49.950291218638,5.893257168458781,,,,,,,,,,,,,,,,,,,,,,,,,,20.766330741935484,25.14032258064516,16.679032258064513,20.772028258064516,25.787197580645163,15.809298693548387,14.753763516129032,70.4720813548387,87.67126129032258,52.31252287096774,1.554838793548387,1.554838793548387,0.0,20.184911451612905,36.23225738709677,19.09774193548387,19.09774193548387,60.407257803225804,4.168122245161291,1008.3927377419354,3.0438171351612904,0.27748642903225806,2021-05-01
2021-06,0.0,0.0,23.13,4.327777777777778,2.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11587.026411458333,11025.970059027777,1929.0697725694442,62.84267100694444,5.801215277777778,,,,,,,,,,,,,,,,,,,,,,,,,,26.221806066666666,30.461666666666666,22.516666666666666,29.06726593333333,33.7171262,25.070320166666665,20.628819533333335,73.10552196666666,89.60398766666667,53.77380443333333,4.1500002,4.1500002,0.0,17.067769766666668,31.259999533333332,18.893666666666665,18.893666666666665,60.459722572266664,4.5038888366666665,1004.8018063333333,8.22180607,0.0,2021-06-01
2021-07,0.0,0.0,22.49,4.205645161290323,3.096774193548387,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12388.027628808242,12644.119031137992,2207.1173017473116,74.38867159498207,5.704749103942652,,,,,,,,,,,,,,,,,,,,,,,,,,27.119690645161292,30.059677419354838,24.741935483870968,30.950819322580646,34.35707370967742,27.856396483870967,23.928158870967742,83.47644235483871,94.0199544516129,69.96382625806453,16.351612711290322,16.351612711290322,0.0,22.541335935483872,42.212902322580646,15.294193548387097,15.294193548387097,74.45564525806452,3.586081877419355,1003.5345480645161,9.11969066451613,0.0,2021-07-01
2021-08,0.0,0.0,23.39,3.8266129032258065,2.935483870967742,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11813.785929659498,11938.813700716844,2297.42946124552,64.70779569892473,5.287074372759856,,,,,,,,,,,,,,,,,,,,,,,,,,26.293750677419354,29.177419354838708,23.78548387096774,30.5870695483871,33.90182203225806,27.486769741935486,23.115255741935485,83.44617825806452,94.8691718064516,68.24129258064517,4.0774193574193545,4.0774193574193545,0.0,14.842198270967742,28.416773612903224,16.184193548387096,16.184193548387096,63.35080651612903,3.468785109677419,1007.1901870967743,8.293750661290323,0.0,2021-08-01
2021-09,0.0,0.0,23.49,4.723611111111111,2.966666666666667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11136.18181423611,11384.477362847221,2192.915189236111,54.40969097222223,6.203819444444445,,,,,,,,,,,,,,,,,,,,,,,,,,24.07055473333333,27.355,21.028333333333332,26.57686903333333,30.1437894,22.872995666666668,20.548958266666666,81.5625124,94.55384286666667,65.09647403333334,4.963333273333333,4.963333273333333,0.0,17.832732266666667,32.60399866666667,15.727666666666666,15.727666666666666,55.180555536666674,3.3385511366666667,1011.598478,6.070554753333334,0.0,2021-09-01
2021-10,0.0,0.0,22.02,3.7661290322580645,3.193548387096774,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10077.153598790323,9891.140818772403,1963.8135416666667,48.89790882616488,5.233982974910394,,,,,,,,,,,,,,,,,,,,,,,,,,17.026075161290322,20.72258064516129,13.899999999999999,16.458395564516128,20.541240677419356,12.565480912903226,12.512499696774192,76.00127774193548,90.16390858064516,57.428938483870965,2.0580645,2.0580645,0.0,16.91181962903226,30.263225193548386,11.131612903225806,11.131612903225806,60.04838718387097,2.3191085967741936,1022.1582083870968,1.5977820612903226,2.5717069180645162,2021-10-01
