period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-06-10T02,233,4028,5926,2270,231,85,13295,4811
2024-06-10T03,182,5687,6183,2271,1068,85,8728,5002
2024-06-10T04,271,6879,6679,2271,5188,84,2049,4869
2024-06-10T05,220,7301,6469,2270,6210,84,153,4755
2024-06-10T06,176,6964,5935,2270,5716,84,105,4796
2024-06-10T07,175,6424,5266,2269,3587,84,132,4677
2024-06-10T08,175,5913,5302,2269,1750,83,113,4427
2024-06-10T09,193,5356,5445,2268,1039,83,121,4127
2024-06-10T10,192,5233,4667,2268,608,84,136,4165
2024-06-10T11,191,5281,4457,2269,396,84,149,3870
2024-06-10T12,190,5424,4446,2267,393,84,157,3506
2024-06-10T13,176,5422,4555,2268,691,84,136,3385
2024-06-10T14,174,4816,4742,2269,1335,84,563,3248
2024-06-10T15,174,4239,5025,2269,718,86,4733,2496
2024-06-10T16,174,2811,6488,2270,-1013,87,12394,1694
2024-06-10T17,177,2556,8306,2270,-2029,87,15628,1045
2024-06-10T18,177,2520,9756,2269,-3676,87,17016,637
2024-06-10T19,175,2518,10208,2271,-4485,86,17707,697
2024-06-10T20,175,2326,10572,2271,-4751,86,18023,841
2024-06-10T21,174,2211,9828,2271,-3718,86,18670,795
2024-06-10T22,173,2307,8277,2270,-1732,85,18565,740
2024-06-10T23,173,2257,8154,2269,-649,86,18166,778
2024-06-11T00,174,3287,8157,2270,-119,86,17768,1016
2024-06-11T01,174,4252,8629,2270,265,86,16745,1345
2024-06-11T02,182,5691,9701,2270,701,85,14223,2162
2024-06-11T03,325,6560,11592,2271,2946,73,8533,2536
2024-06-11T04,380,7062,13126,2272,6753,75,1935,2797
2024-06-11T05,335,7118,13063,2272,6842,79,146,3072
2024-06-11T06,272,6610,12484,2272,5766,83,109,3282
2024-06-11T07,281,6611,10964,2269,3147,82,152,3276
2024-06-11T08,231,6142,9726,2270,1401,83,146,3291
2024-06-11T09,233,5612,8888,2270,813,84,162,3200
2024-06-11T10,235,5462,7892,2270,373,84,130,3075
2024-06-11T11,237,5364,6916,2270,352,84,86,2794
2024-06-11T12,238,5414,6810,2270,416,84,59,2740
2024-06-11T13,284,5475,6881,2269,489,84,13,2158
2024-06-11T14,241,4851,7022,2269,1660,84,430,1623
2024-06-11T15,183,4521,7078,2268,711,84,4563,1049
2024-06-11T16,177,3396,7676,2269,-1057,86,11997,582
2024-06-11T17,177,2934,8938,2270,-2146,77,15299,269
2024-06-11T18,174,2927,10485,2268,-3382,83,16721,191
