Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,daily_mean_load_lag_1,daily_std_load_lag_1,daily_mean_load_lag_7,daily_std_load_lag_7,daily_mean_load_lag_15,daily_std_load_lag_15,daily_mean_load_lag_30,daily_std_load_lag_30,Monthly_Price_Cents_per_kWh,Estimated_Hourly_Cost_USD,daily_mean_cost_lag_1,daily_std_cost_lag_1,daily_mean_cost_lag_7,daily_std_cost_lag_7,daily_mean_cost_lag_15,daily_std_cost_lag_15,daily_mean_cost_lag_30,daily_std_cost_lag_30
2019-08-17,9.0,12182.553341954628,10952.986903460263,2038.0750290801925,60.90405555445739,25234.518700556546,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,4991387.798970085,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,10.0,12320.417192812678,11292.968666558332,1957.6691083892367,69.61533461932005,25640.66950938977,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5071724.428957297,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,6.0,10898.726414024482,10376.931134346412,1929.74331131314,48.445742793706906,23253.84571426902,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,4599610.682282412,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,7.0,11128.12501170679,10455.256372758317,1975.2844528510168,48.72537652040141,23607.39080525984,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,4669541.901280397,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,1.0,12811.676764844942,11886.176297591212,2141.075358465472,59.663925403384816,26898.59332820543,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5320541.760319034,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,11.0,12490.90456742656,11562.046924751436,1913.1393913338145,77.57891246481229,26043.66867875693,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5151437.664658121,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,14.0,13236.873680425297,13241.476448349653,1931.9024886340228,100.35111630046303,28510.60283787536,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5639397.241331747,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,13.0,12714.701786082784,12593.355047510982,1919.1951389438968,94.0876548086803,27321.339378702432,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5404160.929107341,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,15.0,13814.838457988228,13990.003754179956,2022.692940136846,104.52669378144208,29932.06168497163,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5920561.801287388,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,16.0,14446.697467473956,14661.79642711416,2165.704929154837,107.7361871723178,31381.93430612737,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6207346.605751994,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,17.0,14795.16394818038,15265.32121695679,2313.18867475192,109.5820583363286,32483.25591708224,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6425188.020398867,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,18.0,15246.970064909145,15485.007964135602,2488.766482718615,109.69395642869368,33330.43809838592,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6592760.655860736,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,19.0,15527.76743506596,15083.742103041324,2564.374552362105,107.11032736213684,33282.994888561865,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6583376.388957537,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,20.0,15284.89948410662,14554.596876833088,2625.968117074008,97.29037125989468,32562.755596855703,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6440913.057058059,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,21.0,14908.43280442057,14292.258253546146,2654.884473130632,88.1650012031744,31943.74160391666,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6318472.089254716,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,22.0,14132.443842764927,13647.685997648476,2563.721064574332,77.67754739649503,30421.529253922312,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,6017378.486425834,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,23.0,13072.409040224946,12795.59518871524,2408.873713032917,66.87829567578389,28343.75729266511,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5606395.192489158,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-17,24.0,12083.499941573784,11876.757949740291,2213.6392474190843,56.8632295065727,26230.76161314162,32212.25214063272,5559.190213860989,26555.66783617041,3403.391598872084,30940.561466190644,5328.991952952839,29671.852941863883,4472.982898727315,19.78,5188444.647079413,6371583.473417151,1099607.8243017043,5252711.097994507,673190.8582568981,6120043.058012511,1054074.6082940716,5898764.364842539,889229.0002669895
2019-08-18,1.0,11257.96934286834,11137.310453770906,2090.3280447691563,51.04926395265513,24536.658392003446,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4853351.0299382815,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,2.0,10666.111497713386,10486.837382534117,1988.2919813433791,46.40762521303383,23187.64951513228,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4586517.074093166,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,4.0,9985.00251701362,9816.114160626576,1864.3889343349847,41.18152954280105,21706.68728401772,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4293582.744778705,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,5.0,9891.196140989028,9698.272549996194,1849.977312750672,40.6656724966022,21480.11181958093,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4248766.117913107,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,10.0,10456.262258805373,10311.714344053067,1912.0260545998287,57.29099849339041,22737.293976154822,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4497436.748483424,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,7.0,10033.806701735291,9674.312201002658,1906.5583206736844,40.86077442855846,21655.53825629769,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4283465.467095683,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,9.0,10440.675956835896,10024.138623964016,2031.0167857550723,49.01505891590121,22544.845406027223,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4459370.421312185,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
2019-08-18,6.0,9959.93259981982,9738.072415940363,1879.682425800119,40.85403250918158,21618.54134057584,27613.55963217592,3500.568352008224,25781.940141628176,4142.353744874682,29575.326905561287,5165.408675238674,28473.777367913743,3688.6786508265777,19.78,4276147.477165901,5461962.0952443965,692412.4200272263,5099667.760014053,819357.5707362117,5849999.661920022,1021717.8359622102,5660586.940741251,733309.3157843237
