Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,Unnamed: 7
2020-05-09,23,11824.258606770833,11300.683646918404,2157.462775878906,57.203002539740666,25339.60948784722,
2020-05-09,24,10944.44273654514,10489.942936197916,2002.8857717556423,50.08795171101888,23487.360224609376,
2020-05-10,1,10281.041774088542,9811.988745659723,1888.3373577202692,46.05231908162435,22027.421029730904,
2020-05-10,2,9771.130776909722,9292.822251519097,1788.3245753309461,43.36732510884603,20895.64583984375,
2020-05-10,3,9553.955493706597,8924.782899305555,1726.6228926595052,41.973248630099825,20247.335782335067,
2020-05-10,4,9504.74574001736,8681.643809678819,1681.421990559896,41.24256844414605,19909.061332450445,
2020-05-10,5,9421.032669270833,8603.325045572916,1676.514510091146,41.22640351189507,19742.099290364582,
2020-05-10,6,9472.675901692708,8654.708279079861,1700.8782531738282,41.781516223483614,19870.044685329864,
2020-05-10,7,9333.62704969618,8476.526869574653,1675.9056399197048,43.33492944929335,19529.394624023436,
2020-05-10,8,9210.001916232639,8460.698267144096,1704.44168484158,46.37455884721544,19421.51638509115,
2020-05-10,9,9078.926640625,8536.306527777779,1781.1866314019098,50.344343744913736,19446.7641933865,
2020-05-10,10,8851.480300564235,8641.544769965278,1834.0689748806424,55.43994696299235,19382.533949924047,
2020-05-10,11,8673.677388237847,8672.508638237847,1853.3092324490017,62.74903795454237,19262.24419704861,
2020-05-10,12,8576.421338975695,8699.790713975695,1761.1354162597656,68.54845805697971,19105.895812445746,
2020-05-10,13,8541.10316189236,8897.457174479166,1666.8511665852864,72.41267153422038,19177.824093695745,
2020-05-10,14,8667.21189236111,9317.133157552084,1441.5773253038194,78.00661850823296,19503.929045410154,
2020-05-10,15,8982.3670703125,9799.797904730904,1386.1960648600261,82.10308655632866,20250.464110785593,
2020-05-10,16,9416.750745442709,10437.992701822917,1494.9332282172309,85.2672826385498,21434.943947211374,
2020-05-10,17,10091.241456163194,10880.576022135416,1687.7121035427517,86.06606600443523,22745.59562282986,
2020-05-10,18,11076.286374782987,11290.86146484375,1954.9876833767362,86.4314444732666,24408.56706814236,
2020-05-10,19,11673.524555121528,11471.191189236111,2160.0052151150176,83.0253625149197,25387.746840277778,
2020-05-10,20,11775.518413628472,11486.548459201389,2301.799527723524,76.57111434088813,25640.437743055554,
2020-05-10,21,11903.004832899305,11530.435639105903,2284.17908203125,72.52168871561686,25790.142148437502,
2020-05-10,22,11669.606116536459,11104.208713107639,2191.545651312934,65.61487723880344,25030.97670138889,
2020-05-10,23,11065.253983289931,10479.879887152778,2072.412371419271,57.44203266567654,23674.98970811632,
2020-05-10,24,10316.652568359375,9711.266859809028,1929.2133828396268,51.734523946974015,22008.868480902776,
2020-05-11,1,9821.778512369792,9114.859691840278,1831.0821051703558,47.75592007107205,20815.47747558594,
2020-05-11,2,9416.39603624132,8737.451554904514,1718.9179249403212,43.06058512793647,19915.827871093752,
2020-05-11,3,9186.359300130209,8527.920250651041,1643.5343969726562,40.75253942701551,19398.56821343316,
2020-05-11,4,9108.068219401042,8451.116532118056,1614.4756713867187,40.150886132982045,19213.812737087672,
2020-05-11,5,9226.38798719618,8616.950768229166,1679.523457845052,42.52728814866808,19565.390260416665,
2020-05-11,6,9666.720595703126,9096.162923177084,1772.4447615559895,43.76231525421142,20579.091239149304,
2020-05-11,7,10104.609173177083,9453.729444444445,1794.1428225368923,46.07163414001465,21398.553441297743,
2020-05-11,8,10390.05636501736,9634.06424045139,1838.306491156684,50.14212201012506,21912.569303385415,
2020-05-11,9,10328.106775173612,9877.89732530382,1873.8579073079427,52.55419797685411,22132.416318359374,
2020-05-11,10,10117.151103515625,10054.103425564235,1807.9846092393664,55.40130281660292,22034.640307888454,
2020-05-11,11,10091.59304796007,9930.584847005208,1681.4719430881075,59.428250342475046,21763.077871365018,
2020-05-11,12,10155.331103487508,9923.522268801096,1484.5319093122241,62.46444145491735,21625.848049316406,
2020-05-11,13,10370.378212890624,10100.180671657987,1484.2563355848524,66.52690668318007,22021.342089301215,
2020-05-11,14,10554.788984375,10430.001937934028,1501.976311984592,69.08501069810656,22555.852212999132,
2020-05-11,15,10818.093032769097,10829.543337673611,1505.6972993977865,72.12577481587728,23225.459459906684,
2020-05-11,16,11132.84037109375,11199.214339192707,1616.0605140516493,74.7984112294515,24022.913665635853,
2020-05-11,17,11513.09222764757,11463.250708550348,1785.2348322211371,76.27498235066732,24837.85271457248,
2020-05-11,18,12069.238840060763,11726.99494466146,2112.35948961046,76.4899708811442,25985.0830601671,
2020-05-11,19,12373.948707682292,11836.593139105902,2328.900359971788,73.84490543789333,26613.287400716144,
2020-05-11,20,12391.049279513889,11770.360412326389,2480.733116048177,67.45150099860297,26709.59545572917,
2020-05-11,21,12466.145286458333,11888.18874891493,2432.4714922417534,64.15451200273301,26850.9608843316,
2020-05-11,22,11995.133038194444,11369.166414930556,2287.3294097222224,58.391820386250814,25710.02101671007,
2020-05-11,23,11211.066857638889,10609.256936848959,2126.3582785373264,51.74553808848063,23998.428411458335,
2020-05-11,24,10730.100093315972,9809.077948133681,1939.236695827908,46.52763941023085,22524.943780381946,
2020-05-12,1,10316.396396484375,9235.335402560764,1798.6782431369359,42.86287213219536,21393.274018012155,
2020-05-12,2,9955.94003580729,8859.520201822917,1703.1542887369792,40.83885483635797,20559.454216579863,
2020-05-12,3,9718.627769097222,8598.64302625868,1666.7836134168838,39.69077908833822,20023.74647894965,
2020-05-12,4,9626.904694010416,8481.339913194444,1628.3406703016492,39.931439878675675,19776.517904730903,
2020-05-12,5,9785.770786675348,8573.148486328126,1641.6417895507811,41.058118934631345,20041.620338541667,
2020-05-12,6,10175.117235243055,8906.878557942708,1707.393326687283,42.706284255981444,20832.09644748264,
2020-05-12,7,10596.3821875,9149.765390625,1741.7304279242621,44.48751799689399,21532.365894097224,
2020-05-12,8,10962.681012369792,9422.822936197917,1747.6728546820746,46.56575181325277,22179.74251519097,
2020-05-12,9,11162.347503255209,9593.511518012152,1729.6185782877603,48.384605191548665,22533.862062445747,
2020-05-12,10,10975.253274739584,9636.161569010417,1611.2112421332465,52.26051659054227,22274.886534559464,
2020-05-12,11,10657.015375434028,9590.744428168402,1516.1885297309027,51.58163892110189,21815.529876302084,
2020-05-12,12,10547.556949632764,9768.467048946888,1467.1532460656244,53.052787893828615,21836.23287923177,
2020-05-12,13,10445.5619959803,9956.683540572662,1426.167494194116,54.318268054636604,21882.707049424913,
2020-05-12,14,10282.447570529514,10086.919614800347,1454.76689195421,56.78469558291965,21880.918652886285,
2020-05-12,15,10059.04806423611,10167.013721788195,1439.3776106770833,58.308647380405,21723.747929144964,
2020-05-12,16,10052.933282335069,10283.349558376736,1562.892322998047,60.71590507083469,21959.891089409724,
2020-05-12,17,10381.91968641493,10541.68349934896,1851.8477880859375,63.273583221435544,22838.724348687065,
2020-05-12,18,10983.361442057292,10712.840192057292,2166.4585938856335,64.71047784169515,23927.370725911456,
2020-05-12,19,11433.300374348959,10920.004116753473,2352.0529324001736,62.253220291137694,24767.610764973957,
2020-05-12,20,11917.661606987847,11159.515414496527,2405.0821234809027,57.78998144785563,25540.049856770835,
2020-05-12,21,12244.803453776041,11467.140559895834,2357.786011827257,55.81099710676405,26125.568547092014,
2020-05-12,22,11913.212953559028,11108.3325,2265.0920095486113,51.67641454908583,25338.314731987848,
2020-05-12,23,11263.107036675347,10461.977170138889,2096.8343667263457,48.45960594601102,23870.379253472223,
2020-05-12,24,10807.506019965278,9789.421423611111,1927.0069141981337,43.74858284844292,22567.68390950521,
2020-05-13,1,10269.366035096637,9232.642313317101,1827.7015790232551,41.53644879767073,21371.231865234375,
2020-05-13,2,9921.153794487847,8834.422827690973,1737.765999891493,40.106647673712835,20533.45017144097,
2020-05-13,3,9686.662624782986,8550.907543402778,1680.8215075683593,39.45722793155246,19957.85012152778,
2020-05-13,4,9610.424420572917,8429.765774739584,1646.3734794108072,39.85914562649197,19726.423400607637,
2020-05-13,5,9751.445789930556,8547.030646701389,1655.7469763183594,40.91962043762207,19995.14404296875,
2020-05-13,6,10142.395174696181,8860.493355034721,1723.8125599500868,42.667826398213705,20769.36968532986,
2020-05-13,7,10464.348135850694,9098.147667100695,1750.2413704427083,44.235771658155656,21356.973259548613,
2020-05-13,8,10645.380782335069,9271.13495985243,1768.9003352864584,46.370230204264324,21731.78634765625,
2020-05-13,9,10612.158465711806,9313.579077690973,1813.090533311632,47.987909673055015,21786.815954047306,
2020-05-13,10,10397.451813151041,9331.680095486112,1774.2525248209636,51.04872876909044,21554.433109266494,
2020-05-13,11,10287.348976779514,9408.386975911459,1634.9134437391492,49.38515724605984,21380.034494086372,
2020-05-13,12,10326.146000434028,9466.170737847222,1497.4116484917536,47.915355627271865,21337.643697374133,
2020-05-13,13,10330.487845052083,9647.097280815971,1413.748189968533,49.85608091990153,21441.189423285592,
